
9/12/2019 : (Thursday)12:50:5
millis,Volt,Current,Power(kW),Energy(kJ),Analog Input 2,Analog Input 3,RPM,X-Accel(m/s^2),Y-Accel(m/s^2),Z-Accel(m/s^2),DIGIN_4
53600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.24,1,
53800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
54000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.16,0.04,10.00,1,
54200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.43,0.08,9.96,1,
54400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
54600,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.20,0.12,9.92,1,
54800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.08,9.96,1,
55000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
55200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
55400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.00,10.00,1,
55600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,9.65,1,
55800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
56000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.31,0.04,9.96,1,
56200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
56400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
56600,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.27,0.31,9.69,1,
56800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
57000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.00,10.04,1,
57200,0.0,2.7,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
57400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
57600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.00,9.49,1,
57800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.08,10.04,1,
58000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.31,0.04,10.04,1,
58200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,9.96,1,
58400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
58600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,9.85,1,
58800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
59000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.00,10.00,1,
59200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.00,9.96,1,
59400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
59600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.16,10.00,1,
